Candidate ID,Name,Skills,Experience,Major,Location
C1000,Luna Garcia,"Supply Chain Risk Management, Convolutional Neural Networks (CNN), Infrastructure as Code (IaC), Distributed Control Systems (DCS), Agile Methodologies, Data Modeling, Deep Q-Networks (DQN), Responsive Design, Blockchain Governance, Route Optimization, Gradient Descent, Clinical Research Informatics, Intrusion Prevention System (IPS), Sentiment Analysis, Remote Monitoring",11,Nursing Informatics,Toronto, Ontario, Canada
C1001,Kevin Brooks,"Image Generation, Entity Linking, Particle Swarm Optimization (PSO), Full Stack Development, IoT Sensors, Decision Trees",7,Mathematics,Edmonton, Alberta, Canada
C1002,Noah Rodriguez,"Word2Vec, Blockchain Governance, Sales and Marketing Systems, Multi-Signature Wallets, Flexibility, Product Owner, One-Hot Encoding",9,Biomedical Engineering,San Jose, California, USA
C1003,Saanvi Singh,"Keras, Self-Sovereign Identity (SSI), Balsamiq, Matplotlib, Decentralized Applications (DApps), High Availability, Text Summarization",8,Industrial Engineering,Indianapolis, Indiana, USA
C1004,Mia Jones,"Budget Management, Data Augmentation, Object-Oriented Programming (OOP), Patient Monitoring Systems, Language Translation, Remote Sensing, Continuous Deployment (CD), Wireframing, Smart Contract Platforms, Proteomics, Behavior-Driven Development (BDD)",5,Civil Engineering,Toronto, Ontario, Canada
C1005,Tanvi Gupta,"Collateralized Stablecoins, Sentiment Analysis, OPTICS, Proteomics, Split Testing, Lemmatization, Facial Recognition, Oracle Database, Machine Learning Algorithms",14,Chemical Engineering,Columbus, Ohio, USA
C1006,Hannah Dubois,"Collectibles NFTs, OAuth2, Ensemble Learning, Frequency Encoding, ANOVA, Continuous Learning, Machine Learning, LSTM, IoT Devices, DeFi Protocols",11,Artificial Intelligence,St. Louis, Missouri, USA
C1007,Quinn Wilson,"Hadoop, Object-Oriented Programming (OOP), Sports NFTs, Automated Market Makers (AMMs), Microsoft Azure, Unsupervised Learning, Independent Component Analysis (ICA), MacOS, Decentralized Insurance (DeFi)",2,Linguistics,New York City, New York, USA
C1008,Aaron Robinson,"Client/Server Architecture, Neural Networks, Document Indexing, Sharding, Proof of Trust (PoT), Early Stopping, Model Evaluation, Retail IoT, Agile Methodologies",1,Information Systems,Vancouver, British Columbia, Canada
C1009,Akshara Shah,"Deep Learning, Gated Recurrent Unit (GRU), Zero Trust Security, Proof of Space (PoSpace), Manufacturing Execution Systems (MES), Layer 1 Scaling Solutions, Neural Networks, Bitbucket",8,Game Development,Denver, Colorado, USA
C1010,Krisha Patel,"Blockchain Scalability, Feature Importance, Text Mining, Continuous Integration (CI), Forecasting, Software Architecture, Data Imputation, Yield Optimizers, Stratified Cross-Validation, Language Translation, Explainable AI (XAI)",15,Computer Engineering,Quebec City, Quebec, Canada
C1011,Kevin Brooks,"Layer 1 Scaling Solutions, NumPy, Feature Extraction, Governance Tokens, Image Processing, Smart Grid",3,Biotechnology,San Francisco, California, USA
C1012,Neha Chawla,"Partial Dependence Plots, Asset Management, Deep Learning, Mobile Development, Web Application Security, Predictive Analytics, Neural Networks, Buffer Overflow, Strongly Connected Components",14,Economics,Raleigh, North Carolina, USA
C1013,Oscar Cooper,"Fleet Management, Ontologies, Innovation, Layer 1 Scaling Solutions, PCI DSS, Tokenization, Hub and Authority Scores, Hospital Information System (HIS), L1 Regularization, Boosting, Altcoin Wallets, Manufacturing IoT, Adversarial Training",11,Health Informatics,Washington, D.C., USA
C1014,Liam Hernandez,"Open Source Wallets, Robotic Exoskeletons, Security Operations Center (SOC), Tokenomics, ElasticNet Regularization, Icon Design, Health Information System (HIS), Patient Monitoring Systems, Proof of Capacity (PoC), VPN, Tron Virtual Machine (TVM)",1,Economics,Chicago, Illinois, USA
C1015,Diana Sanchez,"Eigenvalues and Eigenvectors, Algorand, All Pairs Shortest Path, Text Summarization, Environmental Monitoring Systems (EMS), Contract Management, Relation Extraction, Smart Contracts, Endpoint Security, Process Automation, Descriptive Analytics, Unsupervised Learning, Rule-Based Models, Artificial Intelligence (AI)",4,Mechanical Engineering,Minneapolis, Minnesota, USA
C1016,Caleb Johnson,"Decentralized Finance (DeFi), Image Generation, Data Analysis, Geocoding, OAuth2.0, Clinical Research Informatics, Decentralized Autonomous Organizations (DAOs), Functional Programming, Azure, Pharmaceutical Data Analysis, Geographic Data Analysis, Cloud Computing, Big Data Analytics, Neural Networks, VMware",4,Machine Learning,Toronto, Ontario, Canada
C1017,Vivaan Kumar,"Plasma, Deep Learning, Cross-Site Scripting (XSS), Decentralized Finance (DeFi) Oracles, Business Intelligence (BI), Regression Analysis, Target Encoding",15,Biochemistry,Portland, Oregon, USA
C1018,Parker Martinez,"Zero Trust Security, Open Source Wallets, Healthcare Information Systems (HIS), Deep Q-Networks (DQN), BERT, Uniform Manifold Approximation and Projection (UMAP), Holdout Validation, Data Wrangling, User Stories, Tokenization, Bitbucket, Delegated Proof of Stake (DPoS)",14,Environmental Science,Victoria, British Columbia, Canada
C1019,Aditi Gupta,"Picture Archiving Communication System (PACS), Wallet Security, Proof of Reputation (PoR), Multi-Signature Wallet, Singular Value Decomposition (SVD), Social Engineering, Apache Spark, Accounting and Finance Systems, Knowledge Distillation, Prediction Markets, OPTICS",4,Human-Computer Interaction,Charlotte, North Carolina, USA
